,part1,part2,part3,name,type
0,https://fbref.com/en/comps/882/,/schedule/,-Europa-Conference-League-Scores-and-Fixtures,UEFA_Europa_Conference_League,winter
1,https://fbref.com/en/comps/70/,/schedule/,-Saudi-Professional-League-Scores-and-Fixtures,Saudia_Professional_League,winter
2,https://fbref.com/en/comps/69/,/schedule/,-Belgian-First-Division-B-Scores-and-Fixtures,Challenger_Pro_League,winter
3,https://fbref.com/en/comps/52/,/schedule/,-Premier-Division-Scores-and-Fixtures,South_African_Premier_Division,winter
4,https://fbref.com/en/comps/39/,/schedule/,-Ukrainian-Premier-League-Scores-and-Fixtures,Ukrainian_Premier_League,winter
5,https://fbref.com/en/comps/37/,/schedule/,-Belgian-First-Division-A-Scores-and-Fixtures,Belgian_Pro_League,winter
6,https://fbref.com/en/comps/72/,/schedule/,-Scottish-Championship-Scores-and-Fixtures,Scottish_Championship,winter
7,https://fbref.com/en/comps/8/,/schedule/,-Champions-League-Scores-and-Fixtures,UEFA_Champions_League,winter
8,https://fbref.com/en/comps/30/,/schedule/,-Russian-Premier-League-Scores-and-Fixtures,Russian_Premier_League,winter
9,https://fbref.com/en/comps/40/,/schedule/,-Scottish-Premiership-Scores-and-Fixtures,Scottish_Premiership,winter
10,https://fbref.com/en/comps/64/,/schedule/,-Persian-Gulf-Pro-League-Scores-and-Fixtures,Persian_Gulf_Pro_League,winter
11,https://fbref.com/en/comps/57/,/schedule/,-Swiss-Super-League-Scores-and-Fixtures,Swiss_Super_League,winter
12,https://fbref.com/en/comps/67/,/schedule/,-Bulgarian-First-League-Scores-and-Fixtures,Bulgarian_First,winter
13,https://fbref.com/en/comps/56/,/schedule/,-Austrian-Bundesliga-Scores-and-Fixtures,Austrian_Bundesliga,winter
14,https://fbref.com/en/comps/19/,/schedule/,-Europa-League-Scores-and-Fixtures,UEFA_Europa_League,winter
15,https://fbref.com/en/comps/27/,/schedule/,-Super-League-Greece-Scores-and-Fixtures,Super_League_Greece,winter
16,https://fbref.com/en/comps/82/,/schedule/,-Indian-Super-League-Scores-and-Fixtures,India_Super_League,winter
17,https://fbref.com/en/comps/9/,/schedule/,-Premier-League-Scores-and-Fixtures,Premier_League,winter
18,https://fbref.com/en/comps/54/,/schedule/,-Serbian-SuperLiga-Scores-and-Fixtures,Serbian_Superliga,winter
